"","Q22_2","Q22_4","Q22_11","Q22_13","Q22_22","Q22_23","Q22_25","Q22_8","Q22_9","Q22_16","Q22_18","Q22_19","Q22_20","Q22_26","Q22_27","DLoC_SUM","Age","group","raw","percentile","n","m","md","sd","normValue"
"654",2.20408444871627,1.98079257217862,1.87165459759592,2.30081763414984,1.53156213362082,1.54553925036405,2.01749795427209,3.50054163838151,3.3934607385741,3.07729740998329,3.42512739968823,3.36144132229964,3.59494962835287,3.24877900608845,3.07602658248045,40.1295723167461,18,18,40.1295723167461,0.5,1,40.1295723167461,40.1295723167461,NA,50
"309",2.7297593005185,2.54743704413861,2.50789519701302,3.11025673001991,2.56547922563653,2.31031729228762,2.76690904553249,2.8619145576946,2.63557553992627,2.3229453165597,2.60978158260028,2.35371025885957,2.70596285890518,2.3263267421521,2.16926840264115,38.5235390944855,19,19,38.5235390944855,0.833333333333333,3,37.6985484541562,37.6127211018945,0.785601125716565,59.674215661017
"630",3.2417265332689,3.09930556375311,3.12754503936381,3.89858870476025,3.57243565636145,3.05515280505661,3.496778319799,2.23994046451171,1.89745313105709,1.58826388284552,1.81569691167107,1.37225702377094,1.84015751412701,1.42792855686187,1.28615505888019,36.9593851660885,19,19,36.9593851660885,0.166666666666667,3,37.6985484541562,37.6127211018945,0.785601125716565,40.325784338983
"661",3.02788147298527,2.86879402063813,2.868721721355,3.56930806358286,3.15183713978344,2.74404032570165,3.19191713148387,2.49973460550979,2.20576159481045,1.89513507582765,2.14738041300162,1.78220303749447,2.20179822920427,1.80318306887429,1.65502520164168,37.6127211018945,19,19,37.6127211018945,0.5,3,37.6985484541562,37.6127211018945,0.785601125716565,50
"127",2.77092055288773,2.59180628880385,2.5577139391316,3.17363721472144,2.646436726661,2.37020073902687,2.8255892333899,2.81190894995465,2.57623181476709,2.26387823966566,2.54593859138566,2.27480316927679,2.63635365343399,2.25409713043627,2.09826766492226,38.3977839084647,20,20,38.3977839084647,0.7,5,37.9627308296489,37.9708376025459,1.02755159484193,55.2440051270804
"484",2.48145776292541,2.27978358273767,2.20736813437574,2.72791968002895,2.07711041207978,1.94907580798223,2.412926111764,3.16356887031674,2.99356120254286,2.67926212350125,2.99490866136188,2.82971015056949,3.12587410441559,2.76204535168109,2.59757394076477,39.2821458970474,20,20,39.2821458970474,0.9,5,37.9627308296489,37.9708376025459,1.02755159484193,62.815515655446
"641",3.40086117189673,3.27084270875189,3.32015063485972,4.14362572254968,3.88542765558867,3.28666982915385,3.72364339196775,2.04661242274857,1.66802273925746,1.35990304843705,1.5688717848571,1.06719217605229,1.57103946935852,1.14867968815594,1.01165717339671,36.4731996170319,20,20,36.4731996170319,0.1,5,37.9627308296489,37.9708376025459,1.02755159484193,37.184484344554
"734",2.91066544295637,2.74244250274972,2.72685151974425,3.38881771476213,2.92129223833037,2.57350858803107,3.02481194721263,2.64213694948806,2.37475635249877,2.06334201464536,2.32918785433548,2.00690892591253,2.40002627740863,2.00887331998501,1.85721595448557,37.9708376025459,20,20,37.9708376025459,0.5,5,37.9627308296489,37.9708376025459,1.02755159484193,50
"835",3.00268952722797,2.8416386854488,2.83823112699965,3.53051726785221,3.10228867230339,2.70738982419399,3.15600306122499,2.53033956734247,2.2420817701986,1.93128593401362,2.18645427686843,1.83049659044093,2.24440119261046,1.84738980107217,1.69847982535668,37.6896871231544,20,20,37.6896871231544,0.3,5,37.9627308296489,37.9708376025459,1.02755159484193,44.7559948729196
"62",2.69472167153229,2.50966868084797,2.46548806646091,3.05630545837206,2.49656589765755,2.2593427988382,2.71695880027402,2.90448075357964,2.68609060701256,2.3732248927725,2.66412655294961,2.42087821828855,2.76521619486898,2.38781064245755,2.22970625044098,38.6305854863534,21,21,38.6305854863534,0.785714285714286,7,38.056391763829,38.0433044184778,0.860160054497278,57.9163860774337
